insertar,registro,registro_senasa,marca,empresa,activos,banda_toxocologica,producto_propio,precio,rentabilidad,precio_minimo,precio_maximo
FALSE,S_39934,39934,GLUFOSINATO DE AMONIO RURALCO,RURALCO SOLUCIONES S.A.,GLUFOSINATO DE AMONIO 20%,III,FALSE,25,10%,20,30
FALSE,S_39933,39933,FOMMET-S,SIPCAM ARGENTINA S.R.L.,"FOMESAFEN 11,95%## S-METOLACLORO 51,8%",III,FALSE,10,9%,8,12
FALSE,S_39932,39932,VAKERO,GLEBA S A,DICLOSULAM 42%,IV,FALSE,15,22%,12,18
FALSE,S_39930,39930,METOLACLOR SIGMA,SIGMA AGRO SA,METOLACLORO 96%,III,FALSE,9,18%,7.2,10.8
FALSE,S_39928,39928,"ALLGRAM 2,4D 89 ESTER",FARMCHEM SA,"2,4 D 89%",III,FALSE,17,5%,13.6,20.4
FALSE,S_39927,39927,NUPROSIL,NUPROAGRO S.A.,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA 80%,IV,FALSE,22,4%,17.6,26.4
FALSE,S_39926,39926,S-METOLACLOR  96  SIGMA,SIGMA AGRO SA,S-METOLACLORO 96%,III,FALSE,22,6%,17.6,26.4
FALSE,S_39925,39925,HALOXIFOP DELTA AGRO,AGROINSUMOS B Y L S.A.,HALOXIFOP-P METIL 54%,II,FALSE,22,6%,17.6,26.4
FALSE,S_39924,39924,PROFETA,INSUMOS AGROQUIMICOS SOCIEDAD ANONIMA,FLUAZINAM 50%,IV,FALSE,20,5%,16,24
FALSE,S_39923,39923,CRONOS,GLEBA S A,SULFENTRAZONE 50%,III,FALSE,17,8%,13.6,20.4
FALSE,S_39922,39922,CLORIMURON MAX WDG,BORCHES Y CIA S A,CLORIMURON ETIL 25%,IV,FALSE,11,3%,8.8,13.2
FALSE,S_39921,39921,MCPA AMINA 75 A,ATANOR SOCIEDAD EN COMANDITA POR ACCIONES,"M.C.P.A. 91,9%",III,FALSE,10,10%,8,12
FALSE,S_39920,39920,TEBUCONAZOLE DELTA AGRO,AGROINSUMOS B Y L S.A.,TEBUCONAZOLE 43%,III,FALSE,19,3%,15.2,22.8
FALSE,S_39919,39919,GLUFOS WYNCA SL,XINANCHEM ARGENTINA S.A.,GLUFOSINATO DE AMONIO 20%,III,FALSE,21,7%,16.8,25.2
FALSE,S_39918,39918,ROTACHLOR,ROTAM DE ARGENTINA AGROQUIMICA SRL,S-METOLACLORO 96%,III,FALSE,24,10%,19.2,28.8
FALSE,S_39917,39917,TARSIUS,SYNGENTA AGRO SOCIEDAD ANONIMA,"CLOQUINTOCET MEXIL 1,25%## PINOXADEN 5%",III,FALSE,23,0%,18.4,27.6
FALSE,S_39916,39916,OLUPAL,SYNGENTA AGRO SOCIEDAD ANONIMA,"CLOQUINTOCET MEXIL 1,25%## PINOXADEN 5%",III,FALSE,13,22%,10.4,15.6
FALSE,S_39915,39915,ADAMA PINXIT,SYNGENTA AGRO SOCIEDAD ANONIMA,"CLOQUINTOCET MEXIL 1,25%## PINOXADEN 5%",III,FALSE,12,8%,9.6,14.4
FALSE,S_39914,39914,TUNDRAN,TECNOMYL S.A.,ATRAZINA 90%,III,FALSE,10,12%,8,12
FALSE,S_39913,39913,LUTIMOR,SYNGENTA AGRO SOCIEDAD ANONIMA,S-METOLACLORO 96%,III,FALSE,7,21%,5.6,8.4
FALSE,S_39912,39912,DUAL GOLD A,SYNGENTA AGRO SOCIEDAD ANONIMA,S-METOLACLORO 96%,III,FALSE,8,12%,6.4,9.6
FALSE,S_39910,39910,FLUMMAX,SIPCAM ARGENTINA S.R.L.,FLUMIOXAZIN 48%,IV,FALSE,11,18%,8.8,13.2
FALSE,S_39908,39908,TIAMETOSHAR 25 WG,SHARDA CROPCHEM LIMITED  SUC.EMP.EXT.,TIAMETOXAM 25%,III,FALSE,8,15%,6.4,9.6
FALSE,S_39907,39907,MIREX TROYA HUAGRO,HUAGRO S A,"FIPRONIL ,003%",III,FALSE,12,7%,9.6,14.4
FALSE,S_39906,39906,GURANCO,BASF ARGENTINA S A,"EPOXICONAZOLE 5%## FLUXAPIROXAD 5%## PIRACLOSTROBIN 8,1%",II,FALSE,22,25%,17.6,26.4
FALSE,S_39905,39905,SESITRA,BASF ARGENTINA S A,"EPOXICONAZOLE 5%## FLUXAPIROXAD 5%## PIRACLOSTROBIN 8,1%",II,FALSE,23,18%,18.4,27.6
FALSE,S_39904,39904,MIREX F AT,SYNTEK CHEMICHAL SA,"FIPRONIL ,003%",IV,FALSE,19,23%,15.2,22.8
FALSE,S_39903,39903,FULL CONTROL 35,PALAVERSICH Y CIA S AC,METALAXIL 35%,II,FALSE,24,5%,19.2,28.8
FALSE,S_39902,39902,PUNTAL,CHEMOTECNICA SOCIEDAD ANONIMA,AZOXISTROBINA 12%## TEBUCONAZOLE 20%,II,FALSE,11,2%,8.8,13.2
FALSE,S_39901,39901,S-METOLACHLOR 96 EC PL S CL 2,AGRICULTORES FEDERADOS ARGENTINOS SOC COOP LTDA,S-METOLACLORO 96%,III,FALSE,7,23%,5.6,8.4
FALSE,S_39900,39900,TREPAK,CHEMOTECNICA SOCIEDAD ANONIMA,"PROPAMOCARB CLORHIDRATO 72,2%",IV,FALSE,16,16%,12.8,19.2
FALSE,S_39899,39899,SONIC,NOVA  S. A. U.,ALCOHOL GRASO ETOXILADO 1%## ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL 74%,IV,FALSE,15,16%,12,18
FALSE,S_39898,39898,ADAMA FLOYD,ADAMA ARGENTINA SOCIEDAD ANONIMA,FLUMETSULAM 12%,III,FALSE,7,21%,5.6,8.4
FALSE,S_39897,39897,GENDARME,INSUMOS AGROQUIMICOS SOCIEDAD ANONIMA,LUFENURON 5%,IV,FALSE,14,19%,11.2,16.8
FALSE,S_39896,39896,ACEITE VEGETAL KEMSURE,AKTIV S.R.L.,ACEITE DE SOJA 85%,IV,FALSE,22,19%,17.6,26.4
FALSE,S_39895,39895,ADJEVA,BASF ARGENTINA S A,SAFLUFENACIL 70%,III,FALSE,15,24%,12,18
FALSE,S_39894,39894,VELTROMA,BASF ARGENTINA S A,SAFLUFENACIL 70%,III,FALSE,5,24%,4,6
FALSE,S_39893,39893,THIAMETO+LAMBDA DELTA AGRO,AGROINSUMOS B Y L S.A.,"LAMBDA-CIALOTRINA 10,6%## TIAMETOXAM 14,1%",II,FALSE,16,14%,12.8,19.2
FALSE,S_39892,39892,ARIETE FULL,ATANOR SOCIEDAD EN COMANDITA POR ACCIONES,"LAMBDA-CIALOTRINA 10,6%## TIAMETOXAM 14,1%",II,FALSE,12,15%,9.6,14.4
FALSE,S_39891,39891,ESUS,AGROFINA S A,"LAMBDA-CIALOTRINA 10,6%## TIAMETOXAM 14,1%",II,FALSE,20,10%,16,24
FALSE,S_39890,39890,CHALTEN,NOVA  S. A. U.,ALCOHOL GRASO ETOXILADO 10%## ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL 68%,IV,FALSE,6,20%,4.8,7.2
FALSE,S_39889,39889,POWER SIL SIGMA,SIGMA AGRO SA,"ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA 76,6%",IV,FALSE,6,12%,4.8,7.2
FALSE,S_39888,39888,TRIDIUM,UPL ARGENTINA S.A.,"AZOXISTROBINA 4,7%## MANCOZEB 59,7%## TEBUCONAZOLE 5,6%",III,FALSE,10,12%,8,12
FALSE,S_39887,39887,DEGSER OLIO,LABORATORIOS DEGSER SOCIEDAD DE RESPONSABILIDAD LIMITADA,ACEITE DE SOJA 88%,IV,FALSE,25,19%,20,30
FALSE,S_39886,39886,ZIEL,SPEEDAGRO S.R.L.,"FOMESAFEN 26,25%",III,FALSE,16,13%,12.8,19.2
FALSE,S_39885,39885,CLOROTALONIL STICK PRO,NGC AGROSCIENCES ARGENTINA S.A.,CLOROTALONIL 72%,III,FALSE,18,24%,14.4,21.6
FALSE,S_39883,39883,XELORA,BASF ARGENTINA S A,METIL TIOFANATO 45%## PIRACLOSTROBIN 5%,II,FALSE,12,10%,9.6,14.4
FALSE,S_39882,39882,TRIPZIN,UPL ARGENTINA S.A.,"METRIBUZIN 13,2%## PENDIMETALIN 34,8%",IV,FALSE,23,3%,18.4,27.6
FALSE,S_39881,39881,SPROUT NIP ULTRA,AGRICONSULTING JGP S.R.L .,CLORPROPHAM (CIPC) 50%,III,FALSE,22,5%,17.6,26.4
FALSE,S_39880,39880,HERCULES,PHILAGRO S.A,"2,4 D 89%",III,FALSE,9,11%,7.2,10.8
FALSE,S_39879,39879,MANFIL,BATLLA DANIEL PATRICIO,MANCOZEB 75%,III,FALSE,10,4%,8,12
FALSE,S_39878,39878,GOLIAT LPU,NGC AGROSCIENCES ARGENTINA S.A.,NICOSULFURON 4%,III,FALSE,10,19%,8,12
FALSE,S_39877,39877,"2,4D ETIL HEXIL LANTHER",LANTHER QUIMICA SA,"2,4 D 89%",III,FALSE,19,13%,15.2,22.8
FALSE,S_39876,39876,CHEMOCLOR,CHEMOTECNICA SOCIEDAD ANONIMA,S-METOLACLORO 96%,III,FALSE,25,0%,20,30
FALSE,S_39874,39874,AGROMIL-MZ,NGC AGROSCIENCES ARGENTINA S.A.,MANCOZEB 64%## METALAXIL 8%,III,FALSE,7,2%,5.6,8.4
FALSE,S_39873,39873,OLASUL,R&D AGRO CONSULTORA S.A.,SULFENTRAZONE 50%,III,FALSE,12,15%,9.6,14.4
FALSE,S_39872,39872,VEGEAGRO,NUPROAGRO S.A.,ACEITE DE SOJA 85%,IV,FALSE,17,20%,13.6,20.4
FALSE,S_39871,39871,ACARISTOP,NGC AGROSCIENCES ARGENTINA S.A.,"ABAMECTINA 1,8%",II,FALSE,14,15%,11.2,16.8
FALSE,S_39870,39870,DOMINATOR,NGC AGROSCIENCES ARGENTINA S.A.,IMIDACLOPRID 70%,II,FALSE,12,7%,9.6,14.4
FALSE,S_39869,39869,MABUA,HELM ARGENTINA S R L,S-METOLACLORO 96%,III,FALSE,24,22%,19.2,28.8
FALSE,S_39867,39867,ODERIS G,SYNGENTA AGRO SOCIEDAD ANONIMA,"PARAQUAT DICLORURO 27,6%",II,FALSE,13,8%,10.4,15.6
FALSE,S_39866,39866,SUPER AZON,CHEMOTECNICA SOCIEDAD ANONIMA,SULFENTRAZONE 50%,III,FALSE,17,1%,13.6,20.4
FALSE,S_39865,39865,PILARSTAR,PILARQUIM ARGENTINA SRL,GLUFOSINATO DE AMONIO 20%,III,FALSE,17,2%,13.6,20.4
FALSE,S_39864,39864,CLEDIM,SINER S A,CLETODIM 24%,III,FALSE,11,2%,8.8,13.2
FALSE,S_39863,39863,HALOXIFOP SINER,SINER S A,HALOXIFOP-P METIL 54%,III,FALSE,20,6%,16,24
FALSE,S_39862,39862,GRAMINI ELITE,SURCOS S.A.,CLETODIM 12%## HALOXIFOP-P METIL 6%,IV,FALSE,11,8%,8.8,13.2
FALSE,S_39861,39861,MILAMENTALIN,NGC AGROSCIENCES ARGENTINA S.A.,PENDIMETALIN 33%,II,FALSE,10,19%,8,12
FALSE,S_39860,39860,ELATUS ACE CON TECNOLOGIA SOLATENOL,SYNGENTA AGRO SOCIEDAD ANONIMA,BENZOVINDIFLUPIR 4%## PROPICONAZOLE 25%,II,FALSE,21,4%,16.8,25.2
FALSE,S_39859,39859,BIFENTRIN DELTA AGRO,AGROINSUMOS B Y L S.A.,BIFENTRIN 10%,II,FALSE,25,1%,20,30
FALSE,S_39858,39858,BILOXA,UPL ARGENTINA S.A.,CLETODIM 24%## QUIZALOFOP-P ETIL 12%,III,FALSE,20,16%,16,24
FALSE,S_39857,39857,KROLL,UPL ARGENTINA S.A.,CLETODIM 24%## QUIZALOFOP-P ETIL 12%,III,FALSE,17,8%,13.6,20.4
FALSE,S_39856,39856,MIREX DAARGUS FIPRO,REOPEN S A,"FIPRONIL ,003%",IV,FALSE,13,9%,10.4,15.6
FALSE,S_39855,39855,"2,4D LV AGROFINA",AGROFINA S A,"2,4 D 89%",II,FALSE,5,10%,4,6
FALSE,S_39854,39854,IMISTAR,AGRI STAR S. A.,IMIDACLOPRID 35%,III,FALSE,15,10%,12,18
FALSE,S_39853,39853,BAUNDAP ELITE,PROCHEM BIO SA.,"GLIFOSATO 75,7%",IV,FALSE,15,18%,12,18
FALSE,S_39852,39852,ULTRA WinNow,LABORATORIO QUIMECO S.R.L.,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA 82%,IV,FALSE,24,18%,19.2,28.8
FALSE,S_39851,39851,SIVELOR �,BASF ARGENTINA S A,"TOPRAMEZONE 33,6%",III,FALSE,5,11%,4,6
FALSE,S_39850,39850,STRIVUM,BASF ARGENTINA S A,"TOPRAMEZONE 33,6%",III,FALSE,15,13%,12,18
FALSE,S_39849,39849,YETI GOLD,SIPCAM ARGENTINA S.R.L.,AZOXISTROBINA 12%## TEBUCONAZOLE 20%,II,FALSE,19,6%,15.2,22.8
FALSE,S_39848,39848,REBELION,GLEBA S A,GLUFOSINATO DE AMONIO 20%,III,FALSE,17,20%,13.6,20.4
FALSE,S_39847,39847,WYNCA CARBENDAZIM 50,XINANCHEM ARGENTINA S.A.,CARBENDAZIM 50%,III,FALSE,18,25%,14.4,21.6
FALSE,S_39846,39846,AXIAL PLUS,SYNGENTA AGRO SOCIEDAD ANONIMA,"CLOQUINTOCET MEXIL 1,25%## PINOXADEN 5%",III,FALSE,10,17%,8,12
FALSE,S_39845,39845,MIRAVIS CON TECNOLOGIA ADEPYDIN,SYNGENTA AGRO SOCIEDAD ANONIMA,PIDIFLUMETOFEN 20%,III,FALSE,18,16%,14.4,21.6
FALSE,S_39843,39843,ESTRELLA AURUM II,ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LTDA,"GLIFOSATO 58,8%",IV,FALSE,8,19%,6.4,9.6
FALSE,S_39842,39842,NUGEN,GRUPO APC SA,ALCOHOL GRASO ETOXILADO 48%,III,FALSE,20,20%,16,24
FALSE,S_39841,39841,CORRECTO F,GRUPO APC SA,ALCOHOL GRASO ETOXILADO 25%,IV,FALSE,5,11%,4,6
FALSE,S_39839,39839,CIDETRAK CM AR,CHEMOTECNICA SOCIEDAD ANONIMA,"(E,E)8,10-DODECADIENOL 2%",IV,FALSE,16,17%,12.8,19.2
FALSE,S_39838,39838,MYCLOSTAR,AGRI STAR S. A.,MICLOBUTANIL 25%,III,FALSE,5,24%,4,6
FALSE,S_39837,39837,AGROTOM 24 SC,NGC AGROSCIENCES ARGENTINA S.A.,CLORFENAPIR 24%,III,FALSE,8,18%,6.4,9.6
FALSE,S_39835,39835,AZZURRO,FARM CHEMICALS ARGENTINA S.R.L,ZINEB 70%,III,FALSE,12,14%,9.6,14.4
FALSE,S_39834,39834,SUPERQUAT,RAINBOW AGROSCIENSES SA,"PARAQUAT DICLORURO 82,8%",II,FALSE,8,11%,6.4,9.6
FALSE,S_39833,39833,AGROSTAR-DIF SC,NGC AGROSCIENCES ARGENTINA S.A.,"AZOXISTROBINA 20%## DIFENOCONAZOLE 12,5%",III,FALSE,18,4%,14.4,21.6
FALSE,S_39832,39832,BORJA,SYNGENTA AGRO SOCIEDAD ANONIMA,BICICLOPIRONA 20%,IV,FALSE,7,1%,5.6,8.4
FALSE,S_39831,39831,ADAMA ZARIVA,SYNGENTA AGRO SOCIEDAD ANONIMA,CLORANTRANILIPROLE 10%## LAMBDA-CIALOTRINA 5%,II,FALSE,13,22%,10.4,15.6
FALSE,S_39830,39830,CAREXO,SYNGENTA AGRO SOCIEDAD ANONIMA,CLORANTRANILIPROLE 10%## LAMBDA-CIALOTRINA 5%,II,FALSE,25,6%,20,30
FALSE,S_39829,39829,ZENOVOR,SYNGENTA AGRO SOCIEDAD ANONIMA,CLORANTRANILIPROLE 10%## TIAMETOXAM 20%,IV,FALSE,12,4%,9.6,14.4
FALSE,S_39828,39828,ARPEGIO,ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LTDA,"LAMBDA-CIALOTRINA 10,6%## TIAMETOXAM 14,1%",III,FALSE,25,12%,20,30
FALSE,S_39827,39827,METOXISTAR,AGRI STAR S. A.,METOXIFENOCIDE 24%,IV,FALSE,20,17%,16,24
FALSE,S_39826,39826,STARFEN,AGRI STAR S. A.,OXIFLUORFEN 24%,III,FALSE,17,16%,13.6,20.4
FALSE,S_39825,39825,CLETODIM CONTROLER,AGROFACIL S A,CLETODIM 24%,III,FALSE,7,11%,5.6,8.4
FALSE,S_39824,39824,CLETODIM EBC,ENRIQUE M BAYA CASAL S A,CLETODIM 24%,III,FALSE,6,17%,4.8,7.2
FALSE,S_39823,39823,TRAC 90 WG I,ATANOR SOCIEDAD EN COMANDITA POR ACCIONES,ATRAZINA 90%,II,FALSE,23,20%,18.4,27.6
FALSE,S_39822,39822,TRAC 90 WG J,ATANOR SOCIEDAD EN COMANDITA POR ACCIONES,ATRAZINA 90%,II,FALSE,17,20%,13.6,20.4
FALSE,S_39821,39821,BOZITIVE,SYNGENTA AGRO SOCIEDAD ANONIMA,"ABAMECTINA 1,8%## CLORANTRANILIPROLE 4,5%",II,FALSE,8,23%,6.4,9.6
FALSE,S_39820,39820,"GALGOQUAT 27,6 SL",CHEMOTECNICA SOCIEDAD ANONIMA,"PARAQUAT DICLORURO 27,6%",II,FALSE,9,5%,7.2,10.8
FALSE,S_39819,39819,LUXOR ALB,ATANOR SOCIEDAD EN COMANDITA POR ACCIONES,CLETODIM 24%,III,FALSE,17,2%,13.6,20.4
FALSE,S_39818,39818,ADOC  ALB,ATANOR SOCIEDAD EN COMANDITA POR ACCIONES,"FOMESAFEN 26,25%",III,FALSE,22,16%,17.6,26.4
FALSE,S_39817,39817,METILADO AKTIV,AKTIV S.R.L.,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA 72%## ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL 72%,IV,FALSE,21,10%,16.8,25.2
FALSE,S_39816,39816,ZOOM,UPL ARGENTINA S.A.,S-METOLACLORO 96%,III,FALSE,16,21%,12.8,19.2
FALSE,S_39815,39815,SATIVIS 96 EC,BASF ARGENTINA S A,S-METOLACLORO 96%,III,FALSE,19,6%,15.2,22.8
FALSE,S_39814,39814,ZAP,UPL ARGENTINA S.A.,S-METOLACLORO 96%,III,FALSE,21,1%,16.8,25.2
FALSE,S_39813,39813,ACTIVEG PRECISION,WOHR RUBEN ALBERTO,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA 70%,IV,FALSE,9,4%,7.2,10.8
FALSE,S_39812,39812,NATURE MAX,WOHR RUBEN ALBERTO,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA 70%,IV,FALSE,17,14%,13.6,20.4
FALSE,S_39811,39811,GLUFO 80 SG,AGROTERRUM S.A.,GLUFOSINATO DE AMONIO 80%,II,FALSE,18,13%,14.4,21.6
FALSE,S_39810,39810,DICAMBA EBC,ENRIQUE M BAYA CASAL S A,"DICAMBA 57,8%",III,FALSE,21,3%,16.8,25.2
FALSE,S_39809,39809,BEKER NT,AGM ARGENTINA S. A.,"2,4 D 30%",II,FALSE,23,2%,18.4,27.6
FALSE,S_39808,39808,SPARTA MAX 25,SIPCAM ARGENTINA S.R.L.,BIFENTRIN 25%,II,FALSE,16,4%,12.8,19.2
FALSE,S_39807,39807,FEGO,AGM ARGENTINA S. A.,"2,4 D 30%",II,FALSE,8,5%,6.4,9.6
FALSE,S_39806,39806,PILARXONE,PILARQUIM ARGENTINA SRL,"PARAQUAT DICLORURO 27,6%",II,FALSE,24,10%,19.2,28.8
FALSE,S_39805,39805,PELKE I,TECNOMYL S.A.,GLIFOSATO 62%,IV,FALSE,10,10%,8,12
FALSE,S_39804,39804,ATRAZINA CONTROLER 90 WG,AGROFACIL S A,ATRAZINA 90%,III,FALSE,9,22%,7.2,10.8
FALSE,S_39803,39803,APOCALYPSUS,FARM CHEMICALS ARGENTINA S.R.L,TIACLOPRID 48%,II,FALSE,23,18%,18.4,27.6
FALSE,S_39802,39802,CARTIVAX G,GENBRA ARGENTINA S.A.,CARBOXIN 20%,III,FALSE,13,3%,10.4,15.6
FALSE,S_39799,39799,HALOX 81,AGROFINA S A,HALOXIFOP-P METIL 81%,II,FALSE,22,24%,17.6,26.4
FALSE,S_39798,39798,TIMBAL,CHEMOTECNICA SOCIEDAD ANONIMA,CLETODIM 24%,III,FALSE,5,18%,4,6
FALSE,S_39797,39797,NICOSULFURON 4% LPU MITO,INSUMOS AGROQUIMICOS SOCIEDAD ANONIMA,NICOSULFURON 4%,III,FALSE,17,7%,13.6,20.4
FALSE,S_39793,39793,DIMETOATO DELTA AGRO,AGROINSUMOS B Y L S.A.,DIMETOATO 40%,II,FALSE,14,17%,11.2,16.8
FALSE,S_39792,39792,ABROAD,FMC QUIMICA SOCIEDAD ANONIMA,NICOSULFURON 24%,III,FALSE,15,1%,12,18
FALSE,S_39789,39789,ECOTECH,AGRI STAR S. A.,BACILLUS THURINGIENSIS 10%,IV,FALSE,25,2%,20,30
FALSE,S_39788,39788,GLIFO LYCSA PREMIUM 66.2,LARTIRIGOYEN Y CIA S A,"GLIFOSATO 66,2%",IV,FALSE,7,23%,5.6,8.4
FALSE,S_39787,39787,OXICOP,SINER S A,"OXIDO CUPROSO 56,3%",II,FALSE,20,21%,16,24
FALSE,S_39786,39786,ADHERENTE ADRV AKTIV,AKTIV S.R.L.,ALCOHOL LAURICO ETOXILADO 40%,III,FALSE,19,2%,15.2,22.8
FALSE,S_39785,39785,MATSURI,SUMMIT AGRO ARGENTINA S A,"ABAMECTINA 2,4%## BIFENTRIN 10%## ESFENVALERATO 12,5%",II,FALSE,9,18%,7.2,10.8
FALSE,S_39784,39784,THIODICARB 35 SC PROVENTIS,AGROREGISTROS PROFESIONALES S.R.L.,TIODICARB 35%,II,FALSE,7,6%,5.6,8.4
FALSE,S_39783,39783,ACTION MAX II,WECAN AGRO SA,"GLIFOSATO 75,7%",III,FALSE,14,4%,11.2,16.8
FALSE,S_39782,39782,FIERCE RM,SUMMIT AGRO ARGENTINA S A,"FLUMIOXAZIN 15%## PIROXASULFONE 34,5%",IV,FALSE,6,24%,4.8,7.2
FALSE,S_39781,39781,S-MAXX,SIPCAM ARGENTINA S.R.L.,S-METOLACLORO 96%,II,FALSE,7,18%,5.6,8.4
FALSE,S_39780,39780,FORTIX,FMC QUIMICA SOCIEDAD ANONIMA,MERCAPTOTION 44%,IV,FALSE,14,13%,11.2,16.8
FALSE,S_39779,39779,RIVAL,DYEHUTY AGROPECUARIA SRL,"PROPAMOCARB CLORHIDRATO 72,2%",III,FALSE,21,16%,16.8,25.2
FALSE,S_39778,39778,TAG TAMBA,TAGROS ARGENTINA S.R.L.,"DICAMBA 57,8%",III,FALSE,24,24%,19.2,28.8
FALSE,S_39777,39777,ACTIVE SIL I,FITOQUIMICA S.A.,HEPTAMETILTRISILOXANO 100%,III,FALSE,15,6%,12,18
FALSE,S_39776,39776,MAXIMUS,PALAVERSICH Y CIA S AC,"GLIFOSATO 66,2%",IV,FALSE,19,13%,15.2,22.8
FALSE,S_39775,39775,CLETOGRASS 24,INSUMOS AGROQUIMICOS SOCIEDAD ANONIMA,CLETODIM 24%,III,FALSE,8,23%,6.4,9.6
FALSE,S_39774,39774,DICAMBA  57.8 DELTA AGRO,AGROINSUMOS B Y L S.A.,"DICAMBA 57,8%",III,FALSE,24,5%,19.2,28.8
FALSE,S_39773,39773,GLIFO D RAINBOW,RAINBOW AGROSCIENSES SA,"2,4 D 27,5%## GLIFOSATO 56,5%",III,FALSE,7,20%,5.6,8.4
FALSE,S_39772,39772,ACTION AC,FORMULAGRO SOCIEDAD RESPONSABILIDAD LIMITADA,AZOXISTROBINA 20%## CIPROCONAZOLE 8%,III,FALSE,17,1%,13.6,20.4
FALSE,S_39771,39771,INTRUDER FUSION,CORTEVA AGRISCIENCE ARGENTINA SRL,DICLOSULAM 84%,III,FALSE,25,1%,20,30
FALSE,S_39770,39770,METRIPAX  XTRA,RAINBOW AGROSCIENSES SA,METRIBUZIN 75%,III,FALSE,5,5%,4,6
FALSE,S_39769,39769,ULTRA STICK 72,NGC AGROSCIENCES ARGENTINA S.A.,CLOROTALONIL 72%,III,FALSE,8,9%,6.4,9.6
FALSE,S_39768,39768,GHOST 70 WG,NGC AGROSCIENCES ARGENTINA S.A.,IMIDACLOPRID 70%,II,FALSE,17,10%,13.6,20.4
FALSE,S_39767,39767,SURFURON 60%,SURCROPS SRL,METSULFURON METIL 60%,III,FALSE,25,3%,20,30
FALSE,S_39766,39766,MEBUTAL XTRA,RAINBOW AGROSCIENSES SA,METRIBUZIN 75%,III,FALSE,8,10%,6.4,9.6
FALSE,S_39765,39765,GREENER FULL WG,ATANOR SOCIEDAD EN COMANDITA POR ACCIONES,METRIBUZIN 75%,III,FALSE,7,7%,5.6,8.4
FALSE,S_39764,39764,OFM,AGRO ROCA S A,"DODECENILACETATO ,015%",IV,FALSE,23,18%,18.4,27.6
FALSE,S_39763,39763,CM  10X,AGRO ROCA S A,"(E,E)8,10-DODECADIENOL 1,5%",IV,FALSE,14,10%,11.2,16.8
FALSE,S_39762,39762,METIL POWER HP,NITRASOIL ARGENTINA SOCIEDAD ANONIMA S. A.,"ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA 76,6%",IV,FALSE,15,14%,12,18
FALSE,S_39761,39761,CLETODIM ANGIRU,AGRICULTORES FEDERADOS ARGENTINOS SOC COOP LTDA,CLETODIM 24%,IV,FALSE,12,1%,9.6,14.4
FALSE,S_39760,39760,IMPRID 70,SINER S A,IMIDACLOPRID 70%,II,FALSE,11,2%,8.8,13.2
FALSE,S_39759,39759,COMBATE,PALAVERSICH Y CIA S AC,FLUMETSULAM 12%,IV,FALSE,7,2%,5.6,8.4
FALSE,S_39758,39758,LAMBDA SIGMA,SIGMA AGRO SA,LAMBDA-CIALOTRINA 5%,II,FALSE,14,10%,11.2,16.8
FALSE,S_39757,39757,GLIFOSATO GOLD SIGMA,SIGMA AGRO SA,GLIFOSATO 60%,IV,FALSE,13,23%,10.4,15.6
FALSE,S_39756,39756,KAISER,INSUMOS AGROQUIMICOS SOCIEDAD ANONIMA,"LAMBDA-CIALOTRINA 10,6%## TIAMETOXAM 14,1%",III,FALSE,19,3%,15.2,22.8
FALSE,S_39755,39755,PREMIER,T Y M AGRO S.R.L,ALCOHOL GRASO ETOXILADO 25%,IV,FALSE,10,15%,8,12
FALSE,S_39754,39754,SULFENTRAZONE NOVA 50,NOVA  S. A. U.,SULFENTRAZONE 50%,III,FALSE,22,5%,17.6,26.4
FALSE,S_39753,39753,MALASEC,SHARDA CROPCHEM LIMITED  SUC.EMP.EXT.,MALATION 100%,II,FALSE,10,9%,8,12
FALSE,S_39752,39752,BINGO ELITE,SURCOS S.A.,"FOMESAFEN 12,5%",II,FALSE,23,16%,18.4,27.6
FALSE,S_39751,39751,HULKGREEN,AGRO ADVANCE TECHNOLOGY S.A.,"TRICHODERMA HARZIANUM ,1%",IV,FALSE,15,22%,12,18
FALSE,S_39750,39750,RUSH,EL TOBIANO SA,"ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA 76,6%",IV,FALSE,13,18%,10.4,15.6
FALSE,S_39749,39749,GANKO,SUMMIT AGRO ARGENTINA S A,FLAZASULFURON 25%,III,FALSE,14,22%,11.2,16.8
FALSE,S_39748,39748,IMAZETAPIR 10 DELTA AGRO,AGROINSUMOS B Y L S.A.,"IMAZETAPIR 11,22%",III,FALSE,8,17%,6.4,9.6
FALSE,S_39747,39747,TRIBUTO ELITE,SURCOS S.A.,METRIBUZIN 20%,II,FALSE,20,6%,16,24
